eval,pop_size,avg_fitness,fitness_variance,mutation_amount,recombination_amount
20,100,-0.7999999999999997,0.16161616161616205,10,10
40,100,-0.6299999999999997,0.23545454545454586,10,10
60,100,-0.45999999999999713,0.2509090909090933,10,10
80,100,-0.28999999999999715,0.20797979797979985,10,10
100,100,-0.14999999999999716,0.12878787878787964,10,10
120,100,-0.04999999999999716,0.04797979797979814,10,10
140,100,-0.009999999999987623,0.010000000000000255,10,10
160,100,1.237684812312633E-14,7.931431101751822E-27,10,10
180,100,4.699695534011443E-11,2.207541202120636E-19,10,10
200,100,4.699695589252484E-11,2.207541201596153E-19,10,10
220,100,1.732345822532372E-14,1.0306726311381862E-26,10,10
240,100,3.8470492368080165E-9,1.479480294451298E-15,10,10
260,100,3.847077997757088E-9,1.4794800709959563E-15,10,10
280,100,4.128149859951125E-9,1.4850067534100085E-15,10,10
300,100,4.160529180740855E-9,1.484786854391316E-15,10,10
320,100,4.1605025884616074E-9,1.4847870778319345E-15,10,10
340,100,4.160502588461445E-9,1.4847870778319386E-15,10,10
360,100,4.160502788497235E-9,1.4847870761506226E-15,10,10
380,100,4.160563804562889E-9,1.4847865634915185E-15,10,10
400,100,4.161526989024131E-9,1.4847785580714456E-15,10,10
420,100,4.155856302298034E-9,1.4848229508643511E-15,10,10
440,100,1.3955832540943772E-8,1.1006501557548508E-14,10,10
460,100,1.3955832553467318E-8,1.1006501557195397E-14,10,10
480,100,1.3955832995317492E-8,1.100650154473808E-14,10,10
500,100,1.3954008000771276E-8,1.1006551239998083E-14,10,10
520,100,1.393297271225689E-8,1.1007099080135686E-14,10,10
540,100,1.3932958980914462E-8,1.1007099466627104E-14,10,10
560,100,1.3933210286228482E-8,1.1007092396575708E-14,10,10
580,100,1.393257699203665E-8,1.1007110182709059E-14,10,10
600,100,1.3932576992894833E-8,1.1007110182684866E-14,10,10
620,100,1.3932576992884355E-8,1.1007110182685204E-14,10,10
640,100,1.0556890087179004E-8,9.618565791191363E-15,10,10
660,100,1.027918713842219E-8,9.616620687462579E-15,10,10
680,100,1.0279187148851056E-8,9.61662068724604E-15,10,10
700,100,1.0275341770367218E-8,9.616699031220554E-15,10,10
720,100,1.0275261278050432E-8,9.616700701440558E-15,10,10
740,100,1.0281224810060295E-8,9.61657867017222E-15,10,10
760,100,1.6642934771913246E-8,1.1487572597151808E-14,10,10
780,100,6.8644207244766734E-9,2.0188424285430873E-15,10,10
800,100,6.8643916779944946E-9,2.0188428312547568E-15,10,10
820,100,7.610938243856709E-9,2.064228002862919E-15,10,10
840,100,7.610938367702165E-9,2.0642280009587196E-15,10,10
860,100,4.430079673548095E-9,1.080911774648836E-15,10,10
880,100,4.430080232303807E-9,1.0809117696481962E-15,10,10
900,100,4.430080225713064E-9,1.0809117697071826E-15,10,10
920,100,4.430080384206822E-9,1.0809117682886964E-15,10,10
940,100,4.435392801779963E-9,1.0808702159851523E-15,10,10
960,100,4.435447425332062E-9,1.0808697268742665E-15,10,10
980,100,4.4354145584893715E-9,1.0808700211040319E-15,10,10
1000,100,4.435415482619162E-9,1.0808700128235167E-15,10,10
1020,100,4.427140832682037E-9,1.080937169522973E-15,10,10
1040,100,4.42743658719095E-9,1.080934533124993E-15,10,10
1060,100,4.787417231249152E-9,1.0906732926792215E-15,10,10
1080,100,4.787417231249133E-9,1.090673292679222E-15,10,10
1100,100,4.7874172866026875E-9,1.0906732921438676E-15,10,10
1120,100,4.78746965475127E-9,1.0906727861952305E-15,10,10
1140,100,4.7874691561294794E-9,1.090672791017704E-15,10,10
1160,100,4.787469156127277E-9,1.090672791017723E-15,10,10
1180,100,4.803566257547684E-9,1.0905430159045478E-15,10,10
1200,100,4.056988546466515E-9,1.040924091553557E-15,10,10
1220,100,4.149980203671686E-9,1.0410263597934231E-15,10,10
1240,100,8.900045682572245E-7,3.883419925827009E-11,10,10
1260,100,8.900045688104646E-7,3.883419925727526E-11,10,10
1280,100,4.466065568612094E-7,1.961618893299817E-11,10,10
1300,100,4.4659046017548316E-7,1.961620342956506E-11,10,10
1320,100,4.776603452121453E-7,1.9684840583710913E-11,10,10
1340,100,4.776603451696124E-7,1.9684840583752017E-11,10,10
1360,100,4.7447949018868056E-7,1.9686877790718522E-11,10,10
1380,100,4.7447949070960143E-7,1.968687779021919E-11,10,10
1400,100,4.744794906355326E-7,1.9686877790290356E-11,10,10
1420,100,4.744794899020461E-7,1.9686877790993395E-11,10,10
1440,100,4.744814638888918E-7,1.9686875898969564E-11,10,10
1460,100,4.7448146380665024E-7,1.968687589904851E-11,10,10
1480,100,4.7448143767066933E-7,1.9686875924100994E-11,10,10
1500,100,4.744807080101046E-7,1.9686876623461675E-11,10,10
1520,100,4.432963850448853E-7,1.9618141469839026E-11,10,10
1540,100,4.432963885715367E-7,1.961814146668076E-11,10,10
1560,100,4.432962176566302E-7,1.961814161974024E-11,10,10
1580,100,4.4329621761528213E-7,1.9618141619777422E-11,10,10
1600,100,4.432962176055656E-7,1.9618141619786072E-11,10,10
1620,100,4.432962175348799E-7,1.9618141619849267E-11,10,10
1640,100,4.4293622678897603E-7,1.9618450788473235E-11,10,10
1660,100,4.429362267910268E-7,1.9618450788471542E-11,10,10
1680,100,4.4293622717764837E-7,1.9618450788125538E-11,10,10
1700,100,4.42936227238412E-7,1.961845078807114E-11,10,10
1720,100,4.429362267930702E-7,1.9618450788469613E-11,10,10
1740,100,4.42937536144436E-7,1.961844961691992E-11,10,10
1760,100,5.004252476850733E-7,1.9888021741285987E-11,10,10
1780,100,5.004252476531446E-7,1.9888021741318328E-11,10,10
1800,100,5.004252941992399E-7,1.9888021694262233E-11,10,10
1820,100,5.006990248777232E-7,1.9887752265148496E-11,10,10
1840,100,5.006990229275807E-7,1.9887752267121047E-11,10,10
1860,100,5.777172955248299E-8,3.2098778170487336E-13,10,10
1880,100,5.779334604319295E-8,3.209853087457135E-13,10,10
1900,100,5.752382678996624E-8,3.2100932693250573E-13,10,10
1920,100,5.7523826936950395E-8,3.210093269154251E-13,10,10
1940,100,5.752382715398757E-8,3.2100932689020395E-13,10,10
1960,100,5.7501480999920774E-8,3.210118727873796E-13,10,10
1980,100,5.7501480999405526E-8,3.2101187278743624E-13,10,10
2000,100,5.750148228792917E-8,3.210118726377578E-13,10,10
2020,100,5.750148223370628E-8,3.210118726440563E-13,10,10
2040,100,5.750148218125874E-8,3.2101187265014955E-13,10,10
2060,100,8.41124698487195E-10,6.854141326551974E-17,10,10
2080,100,8.36805429047614E-10,6.854749623682883E-17,10,10
2100,100,8.349260125950181E-10,6.855045521846066E-17,10,10
2120,100,8.349981048637758E-10,6.85503341397913E-17,10,10
2140,100,8.357992224860605E-10,6.854905862041919E-17,10,10
2160,100,8.357992255597119E-10,6.854905861522963E-17,10,10
2180,100,8.357983696603937E-10,6.854906006025148E-17,10,10
2200,100,8.319243587504525E-10,6.855428393821808E-17,10,10
2220,100,8.318778526209622E-10,6.855436187833836E-17,10,10
2240,100,8.318778526183926E-10,6.855436187834253E-17,10,10
2260,100,8.318706599223645E-10,6.855437396066738E-17,10,10
2280,100,0.0010543035564174602,1.1115542172531954E-4,10,10
2300,100,0.0010543035637419252,1.1115542170971903E-4,10,10
2320,100,0.0010543035637443606,1.111554217097137E-4,10,10
2340,100,0.0010543035637988534,1.1115542170959856E-4,10,10
2360,100,0.0010543035637982014,1.1115542170959964E-4,10,10
2380,100,1.5824445857214144E-9,1.2251876189185807E-16,10,10
2400,100,1.582445684006308E-9,1.2251875838091828E-16,10,10
2420,100,1.5824460828643296E-9,1.2251875710584394E-16,10,10
2440,100,1.5824460831709815E-9,1.2251875710486344E-16,10,10
2460,100,1.5824460829837513E-9,1.225187571054624E-16,10,10
2480,100,1.581682475662173E-9,1.2252113134566125E-16,10,10
2500,100,1.5902969052664166E-9,1.2250103248798413E-16,10,10
2520,100,1.5902968584669314E-9,1.2250103263833766E-16,10,10
2540,100,1.5902968584023404E-9,1.2250103263854528E-16,10,10
2560,100,1.6176710914548324E-9,1.2248802169003278E-16,10,10
2580,100,1.6182075485457641E-9,1.224862973148663E-16,10,10
2600,100,1.0482734131197368E-8,3.982812018625963E-15,10,10
2620,100,1.0482934854362867E-8,3.982807771873847E-15,10,10
2640,100,1.048300914747142E-8,3.982806199948741E-15,10,10
2660,100,1.048300914747236E-8,3.982806199948731E-15,10,10
2680,100,6.0507458281721544E-9,2.072489193950999E-15,10,10
2700,100,6.050747973580638E-9,2.0724891677265707E-15,10,10
2720,100,6.0504993827575094E-9,2.072492202084872E-15,10,10
2740,100,6.065058922373791E-9,2.0723353706939035E-15,10,10
2760,100,6.089328276669552E-9,2.072096905398538E-15,10,10
2780,100,6.065367571635344E-9,2.0723315984260667E-15,10,10
2800,100,6.06536015855645E-9,2.0723316892545852E-15,10,10
2820,100,6.065291945261656E-9,2.0723325246170256E-15,10,10
2840,100,6.065291573170055E-9,2.072332529176292E-15,10,10
2860,100,6.057970389795807E-9,2.072416769099269E-15,10,10
2880,100,6.416034837854805E-9,2.0808556727660264E-15,10,10
2900,100,6.41866504890055E-9,2.0808222725974757E-15,10,10
2920,100,6.060600420568373E-9,2.072385273734011E-15,10,10
2940,100,1.6278226078671987E-9,1.2247138548579964E-16,10,10
